"Tanggapan PLN Usai Dituding Larang Pengendara Motor Listrik Isi Daya","Tanggapan PLN Lempus Tenuding Muang Kabant Pengendara Honda Listrik Kusiq Daya"
"Perusahaan Listrik Negara (PLN) buka suara soal video viral pengendara motor listrik bernama Riza Adriana yang mengaku tak dikasih izin mengisi daya di pom mereka.","Perusahaan Listrik Negara (PLN) mogaq genoh soal video yaq viral kabant pengendara honda yaq nyamai ke Riza Adriana yaq ngakuq hek tenarent izin non kusiq daya di POM kebeleh"
"PLN mengaku, pihaknya tak pernah melakukan pelarangan.","PLN unah ngakuq, bahwa kebeleh kaheq tekant muang"
"Sebelumnya, curhatan yang dibagikan Riza Adriana viral di media sosial. Dia yang touring dari Jakarta ke Bali bersama teman-temannya kehabisan daya dan memutuskan melipir ke PLN UP3 yang bertempat di Malang, Jawa Timur.","Seginaq keh, curhatan(kesah) yaq temahagiq Riza Adriana yaq viral di media sosial. Uhaq kan touring behonda tek Jakarta je Bali bero kabat oyoq ke, terus pas mpeq Malang honda kebeleh daai daya dan ulunt memutuskan non raduq je PLN UP 3 yaq di Malang, Jawa Timur" 
"Namun, petugas setempat melarangnya dan meminta rombongan pergi ke SPLU Rampal.","Namun, Mpeq maneh petugas keh muang dan nakiq kebeleh kaat je SPBU Rampal"
"Padahal, ketika itu, baterai motor listrik yang mereka kendarai sudah benar-benar habis.","Padahal yaq watu aneh, baterai honda listrik kebeleh pakai neh bujur-bujur sok lengih"
"Sementara mengisi daya roda dua diklaim mudah dan hanya tinggal menghubungkan casan ke stop kontak saja.","Sementara kusiq daya roda regaq neh sebenarke mudah kadi ngehubung casan ke je stop kontak beneh"
"PLN yang telah mendengar kabar tersebut mulanya meminta maaf dengan apa yang dialami Riza dan teman-teman.","PLN yaq keheneng kabar aneh awal ke nakiq maaf atas yaq soq dialami Riza dan kabant oyoq ke"
"Hal itu disampaikan langsung Anas Febrian selaku Manager Humas PLN Jawa Timur.","Yaneh temareq langsung Anas Febrian selaku Manager Humas PLN Jawa Timur"
"Menanggapi keluhan akun Riza Ardiana yang disampaikan melalui medsos tanggal 15 November, PLN menyampaikan permohonan maaf atas ketidaknyamanan yang terjadi, demikian respons Anas saat dihubungi detikOto.","Menaggapi keluhan akun Riza Ardiana yaq disampaikan melalui medsos tanggal 15 (limaq belas) November, PLN nakiq maaf atas ke kaheq nyamanan yaq sok terjadi, maneh respons Anas watu tenghubungi detikOto."
"Anas menjelaskan, di PLN UP3 Malang hanya tersedia satu SPKLU untuk mobil listrik.","Anas menjelaskan, dek PLN UP3 Malang kadi tersedia 1(bueh) SPKLU non oto listrik"
"Sehingga, pom untuk motor listrik berupa SPLU masih belum tersedia.","Sehingga, pom non honda listrik berupa SPLU maseh ginaq bak"
"Kini, di Malang baru ada 8 SPLU dan yang terdekat memang berada di Rampal yang berjarak 1 km dari UP3.","watu tih, dek Malang ise bak 8 SPLU dan yaq tertotoi memang yaq baq dek Rampal yaq berjarak 1(bueh)KM tek UP3. "
"Singkatnya bukan nggak boleh ya, fasilitasnya (SPLU) memang belum tersedia, sehingga diarahkan petugas ke SPLU terdekat,"" ungkapnya.","“Singkat ke bukan kaheq ulih yaq, fasilitaske (SPLU) memang ginaq tersedia,” gahai ke."
